"sc-9a1a1d31-3","sc-da9d5f14-0","sc-e3ea776e-1","sc-e3ea776e-3"
"Client de laredoute.fr","5 oct. 2023","Facilte, sollicitations dosées...qualité..on pourrait cependant améliorer le volet recap commandes sur l'appli avec au moment de la livraison, lorsque vos propres équipes ou des intervenants autres communiquent avec nous un rappel systématique du contenu de la commande et son numéro la Redoute. Les sociétés de livraison ont leur code, c'est bien mais quand, comme moi, on commande beaucoup avec des modes de livraison différents et de manière rythmes c est sportif. Par ailleurs ce serait bien que vos sociétés de livraison, quand elles livrent pour vous, alignent le look de leurs mails ou autres type de communication sur le vôtre.  Le service serait parfait de bout en bout.  Concernant les marques autres que les vôtres que vous distribuez et qui se chargent de livrer vous annoncez parfois des dates de livraison qui ne correspondent pas ...en général c'est livré avant certes mais nous achetons chez vois donc vous devriez être informés par elles dès vraies dates de livraison...
Pour nous il n'y a QUE LA Redoute. Le reste est transparent.",""
"Client de laredoute.fr","2 oct. 2023","Livraison impeccable avec possibilité de prendre RDV même le samedi matin. 
Ce serait bien par contre d’avoir les dimensions des colis au cas où l’on puisse aller chercher les meubles au dépôt local du transporteur. 

La table est très jolie et super facile à monter. Une dizaine de vis. Dommage que les vis les plus au bord ne soient pas plus excentrées des pieds. Avec 2-3 cm de okus on pourrait oasser une visseuse sans problème. C’estbun petit détail. 
Pour 4 ou 6 personnes aucun problème. Pour 8, c’est un peu (très) serré. On trouvera des tabourets pour les grands repas à 7 ou 8. Avec des chaises, les 8 convives ne passeront pas. A voir si on peu ajouter une allonge. On regardera mieux les dimensions de la fiche technique la prochaine fois. On ne peut pas faire confiance à l’indication du nombre de convive indiquée en ligne. On le saura pour notre future table de jardin.","Jolie table mais plus pour 6 que pour 8"
"Client de laredoute.fr","il y a 7 jours","je commande depuis longtemps chez la redoute; j'y appréciais le choix , la rapidité de livraison et la facilité de règlement grace à la carte ,meme si presque  a chaque fois je demandais un règlement comptant cela m'évitait de laisser mon numéro de carte bleue  sur le web ...par contre depuis quelques jours cela a changé je n'y comprends plus rien je ne peux plus payer comme ça alors que  je n'ai absolument  aucun débit  en attente sur mon compte ....du coup par sécurité face a l'internet  j'ai dû régler  mes deux dernières commandes avec une carte bancaire à usage unique ce qui est un peu  plus compliqué pour moi et risque  forcement de me faire hésiter pour des   futurs  achats sur ce site....dommage.","excellent  site mais des changements qui compliquent les commandes"
"Client de laredoute.fr","21 sept. 2023","Comme d'habitude, aucun souci et rapidité d'expédition colis. BRAVO à vous (dommage que je ne puisse plus payer avec carte R PREMIUM et ses facilités de paiement). J'avais reçu un courrier me demandant une mise à jour dossier SOFINCO auquel, c'est vrai, je n'ai répondu trouvant trop personnel les renseignements demandés (montant rémunération mensuelle ? -ne pas comprendre, j'ai toujours réglé (et heureusement) mes achats sans problème et dans les temps et ce, depuis de nombreuses années, je ne fais pas partie de ces personnes qui achètent sans pouvoir, peut-être dû à mon âge-. Voilà, j'ai fini ma rédaction. Salutations. Mme ROUCHON",""
"Client de laredoute.fr","26 sept. 2023","Bon prix, produit expédié rapidement et reçu rapidement, pas trop d'emballage. Comme l'avis demandé semble porter sur l'ensemble du site, j'en profite pour suggérer une plus grande attention à l'environnement dans les produits choisis : choix des matériaux (éviter le plastique par exemple, favoriser le bois, le métal, le verre, les tissus 100% naturels). Prêter attention aux labels de qualité (FSC pour le bois, bio pour le textile naturel, etc...) et mettre en avant les conditions de fabrication (pays d'origine, conditions des salariés,...).","Bon commerçant, mais et l'environnement ?"
"Client de laredoute.fr","il y a 10 jours","Beaucoup de facilité pour commander. Description de l’objet précise. Livraison très rapide en Relay colis. Facilité également pour se faire rembourser si ça ne va pas. Tout est bien.
Le seul problème c’est le paiement car j’ai un compte Sofinco avec paiement le mois suivant avec virement. J’utilisais ce dispositif avant, mais maintenant ce n’est plus possible. Je ne peux utiliser que Paypal qui propose paiement en 4 fois mais ça ne fonctionne pas, c’est toujours un paiement intégral. Du coup, j’ai peur de commander…
C’est dommage…",""
"Client de laredoute.fr","5 oct. 2023","Cela fait plusieurs fois que La Redoute envoie mon colis ailleurs que dans le relais colis que j'ai choisi, sous prétexte que la livraison a été plus rapide que prévue et que mon relais colis est fermé le samedi.
Résultat, au lieu d'aller chercher mon colis dans la rue à côté de chez moi, à pied, je suis obligée de passer 30 mn ( 15 mn aller, 15 mn retour) en voiture pour aller chercher mon paquet dans un endroit plus éloigné de mon domicile, que je n'ai pas choisi, qui parfois n'est même pas sur ma commune.","A quoi bon choisir un point de livraison si La Redoute ne respecte pas mon choix?"
"Client de laredoute.fr","26 sept. 2023","Achat de vêtements en ligne facile à faire, le site est très bien fait et permet de voir les photos de bonne qualité car les descriptions manquent parfois de détails ou sont erronés (par exemple : robe à encolure carrée alors que l'image montre clairement que c'est une encolure en V). La description gagnerait à être faite par un professionnel du vêtement et non un commercial !  La livraison est rapide et sans problème en général sauf quelquefois les vêtements sont quand même assez froissés à la réception.",""
"","il y a 6 jours","Le site la Redoute est sûr, d'autant plus que ses descriptions sur les produits sont claires et détaillées ce qui permet un choix précis, cependant il y a un petit dilemme ce sont les macarons définissant les couleurs des articles, en général erronées mais heureusement les photos correspondent bien à ceux-ci, est-ce dû à la période de pandémie où le personnel avait un manque de temps ? Mais beaucoup d'autres sites reproduisent les mêmes erreurs sur les macarons-échantillons colorés devenus non fiable !","Révision des couleurs représentées par les macarons-échantillons"
"","il y a 12 jours","Les articles proposés sont de bonne qualité et toujours d'un excellent rapport qualité/prix pour tous les âges et tous les goûts.
Le site de la Redoute est facile à consulter et les articles bien décrits.
Cerise sur le gâteau, des articles de nombreuses marques réputées sont présentés à des prix compétitifs et viennent ainsi compléter La Redoute Collections et La Redoute maison.
Le suivi de commande est parfait ainsi que la livraison par la poste ou en relais-colis.
FELICITATIONS ! Continuez ainsi","FELICITATIONS !"
